Pvm ja alkava tunti;LRE000_2003210
20.12.2017 0:00;0
20.12.2017 1:00;0
20.12.2017 2:00;0
20.12.2017 3:00;0
20.12.2017 4:00;0
20.12.2017 5:00;0
20.12.2017 6:00;0
20.12.2017 7:00;0
20.12.2017 8:00;0
20.12.2017 9:00;0
20.12.2017 10:00;0
20.12.2017 11:00;0
20.12.2017 12:00;0
20.12.2017 13:00;0
20.12.2017 14:00;0
20.12.2017 15:00;0
20.12.2017 16:00;0
20.12.2017 17:00;0
20.12.2017 18:00;0
20.12.2017 19:00;0
20.12.2017 20:00;0
20.12.2017 21:00;0
20.12.2017 22:00;0
20.12.2017 23:00;0
21.12.2017 0:00;0
21.12.2017 1:00;0
21.12.2017 2:00;0
21.12.2017 3:00;0
21.12.2017 4:00;0
21.12.2017 5:00;0
21.12.2017 6:00;0
21.12.2017 7:00;0
21.12.2017 8:00;0
21.12.2017 9:00;0
21.12.2017 10:00;0,03
21.12.2017 11:00;0,14
21.12.2017 12:00;0,21
21.12.2017 13:00;0,09
21.12.2017 14:00;0,14
21.12.2017 15:00;0,14
21.12.2017 16:00;0,05
21.12.2017 17:00;0,15
21.12.2017 18:00;0,96
21.12.2017 19:00;1,42
21.12.2017 20:00;0,07
21.12.2017 21:00;0,05
21.12.2017 22:00;0,05
21.12.2017 23:00;0,05
22.12.2017 0:00;0,06
22.12.2017 1:00;0,06
22.12.2017 2:00;0,04
22.12.2017 3:00;0,04
22.12.2017 4:00;0,06
22.12.2017 5:00;0,27
22.12.2017 6:00;0,17
22.12.2017 7:00;0,23
22.12.2017 8:00;0,27
22.12.2017 9:00;0,31
22.12.2017 10:00;0,27
22.12.2017 11:00;1,48
22.12.2017 12:00;0,47
22.12.2017 13:00;0,21
22.12.2017 14:00;0,23
22.12.2017 15:00;0,58
22.12.2017 16:00;0,17
22.12.2017 17:00;0,18
22.12.2017 18:00;0,79
22.12.2017 19:00;0,25
22.12.2017 20:00;0,07
22.12.2017 21:00;0,05
22.12.2017 22:00;0,06
22.12.2017 23:00;0,05
23.12.2017 0:00;0,04
23.12.2017 1:00;0,05
23.12.2017 2:00;0,06
23.12.2017 3:00;0,24
23.12.2017 4:00;0,17
23.12.2017 5:00;0,13
23.12.2017 6:00;0,1
23.12.2017 7:00;0,12
23.12.2017 8:00;0,19
23.12.2017 9:00;0,12
23.12.2017 10:00;0,04
23.12.2017 11:00;0,05
23.12.2017 12:00;0,05
23.12.2017 13:00;0,06
23.12.2017 14:00;0,2
23.12.2017 15:00;0,26
23.12.2017 16:00;0,3
23.12.2017 17:00;0,27
23.12.2017 18:00;0,87
23.12.2017 19:00;1,07
23.12.2017 20:00;0,07
23.12.2017 21:00;0,06
23.12.2017 22:00;0,07
23.12.2017 23:00;0,04
24.12.2017 0:00;0,06
24.12.2017 1:00;0,06
24.12.2017 2:00;0,07
24.12.2017 3:00;0,22
24.12.2017 4:00;0,12
24.12.2017 5:00;0,14
24.12.2017 6:00;0,11
24.12.2017 7:00;0,22
24.12.2017 8:00;0,21
24.12.2017 9:00;0,2
24.12.2017 10:00;0,13
24.12.2017 11:00;1,03
24.12.2017 12:00;0,58
24.12.2017 13:00;0,2
24.12.2017 14:00;0,18
24.12.2017 15:00;0,25
24.12.2017 16:00;0,19
24.12.2017 17:00;2,47
24.12.2017 18:00;1,61
24.12.2017 19:00;0,32
24.12.2017 20:00;0,94
24.12.2017 21:00;0,07
24.12.2017 22:00;0,07
24.12.2017 23:00;0,07
25.12.2017 0:00;0,07
25.12.2017 1:00;0,07
25.12.2017 2:00;0,06
25.12.2017 3:00;0,05
25.12.2017 4:00;0,22
25.12.2017 5:00;0,16
25.12.2017 6:00;0,12
25.12.2017 7:00;0,2
25.12.2017 8:00;0,41
25.12.2017 9:00;0,63
25.12.2017 10:00;0,16
25.12.2017 11:00;0,34
25.12.2017 12:00;0,22
25.12.2017 13:00;0,31
25.12.2017 14:00;1,2
25.12.2017 15:00;0,23
25.12.2017 16:00;0,24
25.12.2017 17:00;1,29
25.12.2017 18:00;0,25
25.12.2017 19:00;0,21
25.12.2017 20:00;0,1
25.12.2017 21:00;0,07
25.12.2017 22:00;0,08
25.12.2017 23:00;0,06
26.12.2017 0:00;0,07
26.12.2017 1:00;0,05
26.12.2017 2:00;0,07
26.12.2017 3:00;0,06
26.12.2017 4:00;0,25
26.12.2017 5:00;0,16
26.12.2017 6:00;0,13
26.12.2017 7:00;0,87
26.12.2017 8:00;1,44
26.12.2017 9:00;0,25
26.12.2017 10:00;0,22
26.12.2017 11:00;0,28
26.12.2017 12:00;0,25
26.12.2017 13:00;0,14
26.12.2017 14:00;0,07
26.12.2017 15:00;0,16
26.12.2017 16:00;0,21
26.12.2017 17:00;0,22
26.12.2017 18:00;0,24
26.12.2017 19:00;0,21
26.12.2017 20:00;0,13
26.12.2017 21:00;0,08
26.12.2017 22:00;0,07
26.12.2017 23:00;0,05
27.12.2017 0:00;0,08
27.12.2017 1:00;0,07
