Year,m,d,Time,Time zone,Air temperature (degC)
2018,4,29,00:00,UTC,1.9
2018,4,29,01:00,UTC,1.2
2018,4,29,02:00,UTC,0.3
2018,4,29,03:00,UTC,0.2
2018,4,29,04:00,UTC,1.6
2018,4,29,05:00,UTC,3.2
2018,4,29,06:00,UTC,6.1
2018,4,29,07:00,UTC,9.7
2018,4,29,08:00,UTC,10.4
2018,4,29,09:00,UTC,11.4
2018,4,29,10:00,UTC,11.6
2018,4,29,11:00,UTC,11.4
2018,4,29,12:00,UTC,8.6
2018,4,29,13:00,UTC,8.3
2018,4,29,14:00,UTC,7.4
2018,4,29,15:00,UTC,7.3
2018,4,29,16:00,UTC,7
2018,4,29,17:00,UTC,6.9
2018,4,29,18:00,UTC,6.7
2018,4,29,19:00,UTC,6.5
2018,4,29,20:00,UTC,6.5
2018,4,29,21:00,UTC,6.4
2018,4,29,22:00,UTC,6.3
2018,4,29,23:00,UTC,6.3
2018,4,30,00:00,UTC,6
