Year,m,d,Time,Time zone,Wind speed (m/s)
2018,7,29,00:00,UTC,2.7
2018,7,29,00:10,UTC,3.1
2018,7,29,00:20,UTC,2.5
2018,7,29,00:30,UTC,3
2018,7,29,00:40,UTC,3
2018,7,29,00:50,UTC,2.7
2018,7,29,01:00,UTC,2.5
2018,7,29,01:10,UTC,2.7
2018,7,29,01:20,UTC,2.5
2018,7,29,01:30,UTC,2.6
2018,7,29,01:40,UTC,2.5
2018,7,29,01:50,UTC,2.5
2018,7,29,02:00,UTC,2.5
2018,7,29,02:10,UTC,2.6
2018,7,29,02:20,UTC,2.6
2018,7,29,02:30,UTC,2.6
2018,7,29,02:40,UTC,2.5
2018,7,29,02:50,UTC,2.5
2018,7,29,03:00,UTC,3
2018,7,29,03:10,UTC,2.6
2018,7,29,03:20,UTC,2.9
2018,7,29,03:30,UTC,2.7
2018,7,29,03:40,UTC,3
2018,7,29,03:50,UTC,3.1
2018,7,29,04:00,UTC,2.8
2018,7,29,04:10,UTC,3.1
2018,7,29,04:20,UTC,2.6
2018,7,29,04:30,UTC,3.5
2018,7,29,04:40,UTC,2.7
2018,7,29,04:50,UTC,3
2018,7,29,05:00,UTC,3.1
2018,7,29,05:10,UTC,2.8
2018,7,29,05:20,UTC,2.4
2018,7,29,05:30,UTC,3.4
2018,7,29,05:40,UTC,3.6
2018,7,29,05:50,UTC,3.4
2018,7,29,06:00,UTC,
2018,7,29,06:10,UTC,3.1
2018,7,29,06:20,UTC,3.1
2018,7,29,06:30,UTC,3.2
2018,7,29,06:40,UTC,2.2
2018,7,29,06:50,UTC,3.7
2018,7,29,07:00,UTC,3.3
2018,7,29,07:10,UTC,3.3
2018,7,29,07:20,UTC,3
2018,7,29,07:30,UTC,2.7
2018,7,29,07:40,UTC,2.7
2018,7,29,07:50,UTC,3.2
2018,7,29,08:00,UTC,3.9
2018,7,29,08:10,UTC,4
2018,7,29,08:20,UTC,2.9
2018,7,29,08:30,UTC,3.3
2018,7,29,08:40,UTC,4.3
2018,7,29,08:50,UTC,4
2018,7,29,09:00,UTC,3.5
2018,7,29,09:10,UTC,3.4
2018,7,29,09:20,UTC,3.8
2018,7,29,09:30,UTC,4
2018,7,29,09:40,UTC,3.3
2018,7,29,09:50,UTC,4.9
2018,7,29,10:00,UTC,3.4
2018,7,29,10:10,UTC,3.3
2018,7,29,10:20,UTC,3.6
2018,7,29,10:30,UTC,3.7
2018,7,29,10:40,UTC,3.6
2018,7,29,10:50,UTC,4.2
2018,7,29,11:00,UTC,3.6
2018,7,29,11:10,UTC,3.1
2018,7,29,11:20,UTC,2.9
2018,7,29,11:30,UTC,3.7
2018,7,29,11:40,UTC,4.1
2018,7,29,11:50,UTC,3.8
2018,7,29,12:00,UTC,3.6
2018,7,29,12:10,UTC,4.2
2018,7,29,12:20,UTC,3
2018,7,29,12:30,UTC,4
2018,7,29,12:40,UTC,3.8
2018,7,29,12:50,UTC,3.7
2018,7,29,13:00,UTC,3.2
2018,7,29,13:10,UTC,3.6
2018,7,29,13:20,UTC,3.3
2018,7,29,13:30,UTC,2.8
2018,7,29,13:40,UTC,3.2
2018,7,29,13:50,UTC,3.5
2018,7,29,14:00,UTC,3.7
2018,7,29,14:10,UTC,3.4
2018,7,29,14:20,UTC,3.3
2018,7,29,14:30,UTC,3.6
2018,7,29,14:40,UTC,2.9
2018,7,29,14:50,UTC,4
2018,7,29,15:00,UTC,3.5
2018,7,29,15:10,UTC,3.2
2018,7,29,15:20,UTC,3.2
2018,7,29,15:30,UTC,2.5
2018,7,29,15:40,UTC,3.1
2018,7,29,15:50,UTC,3.2
2018,7,29,16:00,UTC,3.3
2018,7,29,16:10,UTC,3.5
2018,7,29,16:20,UTC,3.8
2018,7,29,16:30,UTC,3
2018,7,29,16:40,UTC,3.5
2018,7,29,16:50,UTC,4
2018,7,29,17:00,UTC,3.7
2018,7,29,17:10,UTC,3.5
2018,7,29,17:20,UTC,2.7
2018,7,29,17:30,UTC,3.1
2018,7,29,17:40,UTC,2.8
2018,7,29,17:50,UTC,2.4
2018,7,29,18:00,UTC,2.3
2018,7,29,18:10,UTC,2.3
2018,7,29,18:20,UTC,2.5
2018,7,29,18:30,UTC,2.6
2018,7,29,18:40,UTC,2.7
2018,7,29,18:50,UTC,2.5
2018,7,29,19:00,UTC,2.4
2018,7,29,19:10,UTC,2.7
2018,7,29,19:20,UTC,2.8
2018,7,29,19:30,UTC,2.7
2018,7,29,19:40,UTC,2.4
2018,7,29,19:50,UTC,2.8
2018,7,29,20:00,UTC,2.6
2018,7,29,20:10,UTC,2.1
2018,7,29,20:20,UTC,2.3
2018,7,29,20:30,UTC,2.4
2018,7,29,20:40,UTC,2.5
2018,7,29,20:50,UTC,2.3
2018,7,29,21:00,UTC,2.4
2018,7,29,21:10,UTC,2.5
2018,7,29,21:20,UTC,2.5
2018,7,29,21:30,UTC,2.5
2018,7,29,21:40,UTC,2.5
2018,7,29,21:50,UTC,2.4
2018,7,29,22:00,UTC,2.4
2018,7,29,22:10,UTC,2.4
2018,7,29,22:20,UTC,2.5
2018,7,29,22:30,UTC,2.9
2018,7,29,22:40,UTC,2.7
2018,7,29,22:50,UTC,2.8
2018,7,29,23:00,UTC,2.7
2018,7,29,23:10,UTC,2.6
2018,7,29,23:20,UTC,2.3
2018,7,29,23:30,UTC,2.2
2018,7,29,23:40,UTC,2.4
2018,7,29,23:50,UTC,2.3
2018,7,30,00:00,UTC,2.2
